Company,Registration number,Phone,Mobile,Website,Email,Domestic Nondomestic,County
Vercom Electrical T/A Solar Logic,50314,01 612 0621,085 1139806,,info@solarlogic.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Verde Energy Group,50275,021 486 1577,,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Verde Remediation Services Ltd,50338,12011260,871478129,,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Vision Solar,50302,061 513 045,089 494 8324,,admin@visionsolar.ie,Both,"Cavan, Clare, Cork, Carlow, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
VM Electrical & Solar,50150,,083 345 7873,,,Both,"Wicklow, Offaly, Monaghan, Meath, Louth, Laois, Kildare, Dublin, Cavan, Carlow"
Wattmasters Electrical Ltd,50679,,857023510,,info@wattmasterselectrical.ie,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
WattSolar,50705,,087 751 6782,,rpe@wattcharger.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
West Cork Solar and Electrical,50259,086 890 2002,086 890 2002,,,Both,Cork
Western Renewables,50278,,085 271 0968,,info@westernrenewables.ie,Both,"Westmeath, Mayo, Clare, Galway"
WestQuay Energy,50225,098 70330,,,info@westquayenergy.com,Both,"Sligo, Mayo, Roscommon, Limerick, Leitrim, Galway"
Whyte Melia Electrical LTD,50140,,087 617 5555,,,Both,Kildare
Willie Cronly Electrical,50622,579352719,863043882,,williecronlysolar@hotmail.com,Domestic,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Wixted Electrical,50611,,+353 86 395 8694,,wixtedelectrical22@gmail.com,Both,"Tipperary, Limerick, Laois, Kilkenny, Kildare, Cork, Carlow, Waterford"
Wizer Energy Ltd,50186,083 080 0855,087 753 0066,,,Both,"Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Westmeath, Waterford, Tipperary, Offaly, Meath, Louth, Limerick, Cork, Clare, Carlow, Wexford, Wicklow"
Woodco Renewable Energy Ltd,50023,062 740 07,086 066 2766,,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
WRB Energy LTD,50111,0044 289 037 0650,0044 783 636 2058,http://www.wrbgroupni.co.uk,natalie@wrbni.uk,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Wyse Solar Solutions/Wyse Electrical,50002,01 298 8330,087 258 3202,,,Both,Dublin
Zetta Home Services,50351,429420538,864020716,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
